"","Code","Division.Name","Region","Division.NBCT.Count","Division.Perc","FY22.Avg.Salary","Educ.Expend","Expend.Per.Capita","Total.Expend","Median.Household.Income","Elementary.Teaching.Positions","End.of.Year.Average.Daily.Membership.K.7","Pupil.Teacher.Ratio.K.7","Secondary.Teaching.Positions","End.of.Year.Average.Daily.Membership.8.12","Pupil.Teacher.Ratio.8.12","Teaching.Postions","District.Type","Income.cat","District.Perc.NBCT"
"1",1,"Accomack County","Tidewater",3,0.001706485,57536,"73624481",2203.47,"123992796",52694,228.35,2688.07559,11.77,126.53,1858.13366,14.69,354.88,"1","Lower Middle Class",0.00845356176735798
"2",2,"Albemarle County","Valley",22,0.012514221,61079,"238400464",2121.09,"420851877",97708,733.7,8079.96394,11.01,462.24,5198.48421,11.25,1195.94,"1","Upper Middle Class",0.0183955716841982
"3",3,"Alleghany County","Western Virginia",3,0.001706485,49941,"27073041",1778.43,"57012879",52546,146.46,1668.8935,11.39,89.25,1050.78126,11.77,235.71,"1","Lower Middle Class",0.0127275041364388
"4",4,"Amelia County","Southside",1,0.000568828,57395,"23064793",1738.77,"41492721",63438,71.46,929.7829,13.01,48.93,552.37716,11.29,120.39,"1","Middle Class",0.00830633773569233
"5",5,"Amherst County","Valley",3,0.001706485,51209,NA,NA,NA,64454,219.67,2246.15624,10.23,135.52,1484.92038,10.96,355.19,"1","Middle Class",0.00844618373265013
"6",6,"Appomattox County","Southside",0,0,51615,"36782332",2281.92,"54441793",60041,111.7,1387.65919,12.42,67.81,858.3464,12.66,179.51,"1","Middle Class",0
"7",7,"Arlington County","Northern Virginia",193,0.109783845,88530,"692958737",2903.75,"1790055160",137387,1624.11,16328.06014,10.05,755.45,10236.72919,13.55,2379.56,"1","Upper Middle Class",0.0811074316260149
"8",8,"Augusta County","Valley",5,0.002844141,53123,"133109743",1717.83,"217406382",76124,457.22,5829.26888,12.75,297.86,3271.37151,10.98,755.08,"1","Middle Class",0.00662181490702972
"9",9,"Bath County","Valley",0,0,50811,"10994705",2612.19,"20633108",55699,32.95,293.40571,8.9,22.15,184.1257,8.31,55.1,"1","Lower Middle Class",0
"10",10,"Bedford County","Valley",9,0.005119454,50531,NA,NA,NA,74773,402.6,5205.92768,12.93,287.1,3459.57158,12.05,689.7,"1","Middle Class",0.0130491518051327
"11",11,"Bland County","Southwest Virginia",0,0,51614,"9967752",1589.75,"23248806",59901,33,496.71854,15.05,29,283.76834,9.79,62,"1","Middle Class",0
"12",12,"Botetourt County","Western Virginia",2,0.001137656,57898,"60770295",1808.86,"96979822",77680,213.36,2582.81944,12.11,143.54,1725.18084,12.02,356.9,"1","Middle Class",0.00560381059120202
"13",13,"Brunswick County","Southside",0,0,47013,NA,NA,NA,52678,86.5,825.55617,9.54,55.5,521.33143,9.39,142,"1","Lower Middle Class",0
"14",14,"Buchanan County","Southwest Virginia",0,0,47128,NA,NA,NA,39591,112.26,1367.92337,12.19,86.85,954.88305,10.99,199.11,"1","Lower Middle Class",0
"15",15,"Buckingham County","Southside",0,0,53390,NA,NA,NA,59894,90.68,1036.37628,11.43,69.35,780.99996,11.26,160.03,"1","Middle Class",0
"16",16,"Campbell County","Valley",0,0,51976,"106108765",1905.14,"165615169",59022,324.88,4508.59872,13.88,275.7,2953.77967,10.71,600.58,"1","Middle Class",0
"17",17,"Caroline County","Northern Neck",1,0.000568828,50453,"54090355",1751.23,"94881854",83562,189.56,2590.69622,13.67,109.51,1484.00617,13.55,299.07,"1","Middle Class",0.00334369879961213
"18",18,"Carroll County","Southwest Virginia",1,0.000568828,53705,"52437970",1798.59,"94963053",49113,134.09,1965.2166,14.66,137.97,1288.98324,9.34,272.06,"1","Lower Middle Class",0.00367565978093068
"19",19,"Charles City County","Central Virginia",0,0,60039,"10760803",1588.78,"29871316",65573,22.7,308.48315,13.59,31.64,181.9439,5.75,54.34,"1","Middle Class",0
"20",20,"Charlotte County","Southside",2,0.001137656,48398,"24366341",2113.48,"42299624",51548,81.11,984.4663,12.14,53.49,562.51124,10.52,134.6,"1","Lower Middle Class",0.0148588410104012
"21",21,"Chesterfield County","Central Virginia",84,0.04778157,56444,"799865578",2194.13,"1303158353",95757,2908.32,37454.99129,12.88,1885.23,24801.16196,13.16,4793.55,"1","Upper Middle Class",0.0175235472666395
"22",22,"Clarke County","Northern Virginia",0,0,58077,"26197109",1772.11,"44424335",107475,83.73,1029.19264,12.29,70.13,825.46612,11.77,153.86,"1","Upper Middle Class",0
"23",23,"Craig County","Western Virginia",1,0.000568828,45312,"7871941",1609.15,"14454972",66286,26.39,266.94674,10.12,21.83,187.35504,8.58,48.22,"1","Middle Class",0.0207382828701783
"24",24,"Culpeper County","Northern Virginia",1,0.000568828,54118,"102898676",1958.04,"178156437",92359,443.38,4793.03866,10.81,213,3324.37771,15.61,656.38,"1","Middle Class",0.00152350772418416
"25",25,"Cumberland County","Southside",0,0,60404,"18634914",1926.09,"31454132",56497,71.5,715.03884,10,39,460.62776,11.81,110.5,"1","Lower Middle Class",0
"26",26,"Dickenson County","Southwest Virginia",0,0,43121,"30071279",2129.09,"53593834",40143,101.01,1120.42129,11.09,59.5,723.01124,12.15,160.51,"1","Lower Middle Class",0
"27",27,"Dinwiddie County","Central Virginia",1,0.000568828,62552,"57896229",2071.64,"96803025",77225,186.64,2507.17729,13.43,106.81,1416.1235,13.26,293.45,"1","Middle Class",0.00340773555972057
"28",28,"Essex County","Northern Neck",0,0,56277,"21998726",2075.55,"38360968",52335,65.75,616.42698,9.38,37.32,442.382,11.85,103.07,"1","Lower Middle Class",0
"29",29,"Fairfax County","Northern Virginia",206,0.117178612,77537,"3315894845",2882.61,"6071557334",145165,8838.97,102470.9907,11.59,5847.89,73489.49619,12.57,14686.86,"1","Upper Middle Class",0.0140261430966183
"30",30,"Fauquier County","Northern Virginia",12,0.006825939,59299,"163789465",2244.55,"288227744",122785,374.58,6063.34425,16.19,491.17,4326.04532,8.81,865.75,"1","Upper Middle Class",0.0138608143228415
"31",31,"Floyd County","Western Virginia",0,0,49887,"27806765",1796.77,"48366167",57146,91.95,982.52228,10.69,58.55,688.81388,11.76,150.5,"1","Lower Middle Class",0
"32",32,"Fluvanna County","Valley",1,0.000568828,54847,"47491952",1742.89,"78980427",90766,154.1,1875.14203,12.17,107.4,1323.06218,12.32,261.5,"1","Middle Class",0.00382409177820268
"33",33,"Franklin County","Western Virginia",5,0.002844141,53910,"93370427",1713.94,"158551404",66275,361.34,3564.17733,9.86,223.56,2331.56425,10.43,584.9,"1","Middle Class",0.00854846982390152
"34",34,"Frederick County","Northern Virginia",15,0.008532423,60028,"205236834",2245.01,"317800630",92443,595.87,7879.0698,13.22,457.44,5460.88406,11.94,1053.31,"1","Middle Class",0.0142408217903561
"35",35,"Giles County","Southwest Virginia",0,0,46325,"39726527",2366.51,"65858722",61987,110,2303.48901,20.94,80.15,1055.79997,13.17,190.15,"1","Middle Class",0
"36",36,"Gloucester County","Northern Neck",8,0.004550626,57960,"70812809",1829.27,"123602502",83750,244.26,2968.23692,12.15,139.52,1822.16094,13.06,383.78,"1","Middle Class",0.0208452759393402
"37",37,"Goochland County","Central Virginia",4,0.002275313,56748,"40280823",1629.02,"83018181",105600,136.09,1455.59979,10.7,82.9,1056.2849,12.74,218.99,"1","Upper Middle Class",0.0182656742317001
"38",38,"Grayson County","Southwest Virginia",5,0.002844141,47615,"26580683",1733.56,"49740277",43348,96.63,948.97747,9.82,59.17,551.73594,9.32,155.8,"1","Lower Middle Class",0.0320924261874198
"39",39,"Greene County","Valley",3,0.001706485,53927,"40181379",1955.11,"67986241",81338,151.34,1569.96075,10.37,90.47,1181.68694,13.06,241.81,"1","Middle Class",0.0124064348041851
"40",40,"Greensville County","Southside",1,0.000568828,38501,NA,NA,NA,51823,NA,NA,NA,NA,NA,NA,NA,"1","Lower Middle Class",NA
"41",41,"Halifax County","Southside",0,0,51519,"65308965",1919.61,"108136702",49145,216,2500.13558,11.57,158.2,1668.14404,10.54,374.2,"1","Lower Middle Class",0
"42",42,"Hanover County","Central Virginia",72,0.040955631,65463,"226550650",2059.94,"388306314",104678,917.32,9771.74015,10.65,594.47,6847.23171,11.52,1511.79,"1","Upper Middle Class",0.0476256622943663
"43",43,"Henrico County","Central Virginia",129,0.07337884,56251,"672894312",2012.31,"1256955056",82424,2151.21,29014.36533,13.49,1262.15,19732.95614,15.63,3413.36,"1","Middle Class",0.0377926734947383
"44",44,"Henry County","Western Virginia",27,0.015358362,58123,"96220454",1888.6,"152197624",43694,258.1,3891.7088,15.08,205.86,2653.93745,12.89,463.96,"1","Lower Middle Class",0.0581946719544788
"45",45,"Highland County","Valley",0,0,49189,"4820575",2159.76,"9942070",57070,15,119.14204,7.94,17,66.55113,3.91,32,"1","Lower Middle Class",0
"46",46,"Isle of Wight County","Tidewater",4,0.002275313,58541,"76603785",1984.25,"136469751",91680,250.25,3217.81601,12.86,144.7,2204.13874,15.23,394.95,"1","Middle Class",0.0101278642866186
"47",48,"King and Queen County","Northern Neck",0,0,54800,"14018221",2121.4,"29235400",70147,151.4,2588.86291,17.1,178.75,1656.08853,9.26,330.15,"1","Middle Class",0
"48",49,"King George County","Northern Neck",6,0.003412969,52930,"54047552",2022.51,"95494860",103264,36.74,569.82923,15.51,27.51,193.46193,7.03,64.25,"1","Upper Middle Class",0.0933852140077821
"49",50,"King William County","Northern Neck",0,0,53696,"28459325",1597.94,"50133935",79398,100.25,1199.12411,11.96,58.75,764.12278,13.01,159,"1","Middle Class",0
"50",51,"Lancaster County","Northern Neck",0,0,57190,"19354763",1772.58,"36426746",62674,42.75,540.92353,12.65,26.75,354.5765,13.26,69.5,"1","Middle Class",0
"51",52,"Lee County","Southwest Virginia",0,0,54228,NA,NA,NA,41619,158,1710.86714,10.83,93,1035.62708,11.14,251,"1","Lower Middle Class",0
"52",53,"Loudoun County","Northern Virginia",127,0.072241183,79369,"1587799242",3771.86,"2324147474",170463,3651.95,47403.52709,12.98,2982.32,33949.39749,11.38,6634.27,"1","Upper Class",0.0191430255325756
"53",54,"Louisa County","Valley",6,0.003412969,66404,"76833666",2043.67,"133339471",76594,262.4,2992.01102,11.4,170.3,1883.69219,11.06,432.7,"1","Middle Class",0.0138664201525306
"54",55,"Lunenburg County","Southside",0,0,56276,"24667819",2066.67,"38932845",54438,74.76,885.09603,11.84,49.77,592.27114,11.9,124.53,"1","Lower Middle Class",0
"55",56,"Madison County","Northern Virginia",1,0.000568828,53437,"24758382",1789.29,"46572378",74586,97.1,937.00986,9.65,45.1,605.36442,13.42,142.2,"1","Middle Class",0.0070323488045007
"56",57,"Mathews County","Northern Neck",0,0,58984,"17894314",2097.07,"33127100",79054,45.35,486.26423,10.72,32.9,362.52872,11.02,78.25,"1","Middle Class",0
"57",58,"Mecklenburg County","Southside",0,0,46539,"60638074",2000,"155338684",51265,234,2269.02775,9.7,156,1438.62228,9.22,390,"1","Lower Middle Class",0
"58",59,"Middlesex County","Northern Neck",1,0.000568828,57801,"21312842",2005.91,"37516437",69389,48.16,712.00572,14.78,40.77,394.05682,9.67,88.93,"1","Middle Class",0.0112447992803328
"59",60,"Montgomery County","Western Virginia",14,0.007963595,54643,"138012290",1362.1,"228427442",65270,527.36,5641.53175,10.7,310.11,3758.85989,12.12,837.47,"1","Middle Class",0.0167170167289575
"60",62,"Nelson County","Valley",1,0.000568828,57677,"29484027",1995.53,"50248781",64028,82.07,803.73228,9.79,57.53,611.56817,10.63,139.6,"1","Middle Class",0.00716332378223496
"61",63,"New Kent County","Central Virginia",3,0.001706485,55449,"41454157",1806.67,"69735180",113120,153.89,2010.40579,13.06,89.45,1287.86866,14.4,243.34,"1","Upper Middle Class",0.0123284293580998
"62",65,"Northampton County","Tidewater",5,0.002844141,47064,"26188553",2132.27,"58321181",54693,72.63,769.50563,10.59,45.67,515.69885,11.29,118.3,"1","Lower Middle Class",0.0422654268808115
"63",66,"Northumberland County","Northern Neck",2,0.001137656,55617,"22432376",1894.79,"39548981",64655,49.23,665.97096,13.53,45.04,390.57557,8.67,94.27,"1","Middle Class",0.0212156571549804
"64",67,"Nottoway County","Southside",0,0,58593,"27160383",1736.38,"44558508",62366,86.55,1047.59094,12.1,54,600.67044,11.12,140.55,"1","Middle Class",0
"65",68,"Orange County","Northern Virginia",1,0.000568828,54425,"65087799",1795.33,"111405645",87309,228.3,2957.26817,12.95,119.1,1695.8269,14.24,347.4,"1","Middle Class",0.00287852619458837
"66",69,"Page County","Northern Virginia",0,0,50595,"45419097",1915.69,"78810994",56760,159.9,1667.76502,10.43,108.45,1231.61494,11.36,268.35,"1","Lower Middle Class",0
"67",70,"Patrick County","Western Virginia",3,0.001706485,50756,"36449516",2070.05,"58383639",49180,111.67,1536.25982,13.76,69.39,840.77968,12.12,181.06,"1","Lower Middle Class",0.0165690931183033
