Code,School Division,Elementary Teaching Positions,End-of-Year Average Daily Membership K-7,Pupil/Teacher Ratio K-7,Secondary Teaching Positions,End-of-Year Average Daily Membership 8-12,Pupil/Teacher Ratio 8-12
1,Accomack  ,228.35,2688.07559,11.77,126.53,1858.13366,14.69
2,Albemarle  ,733.7,8079.96394,11.01,462.24,5198.48421,11.25
3,Alleghany Highlands,146.46,1668.8935,11.39,89.25,1050.78126,11.77
4,Amelia  ,71.46,929.7829,13.01,48.93,552.37716,11.29
5,Amherst  ,219.67,2246.15624,10.23,135.52,1484.92038,10.96
6,Appomattox  ,111.7,1387.65919,12.42,67.81,858.3464,12.66
7,Arlington  ,1624.11,16328.06014,10.05,755.45,10236.72919,13.55
8,Augusta  ,457.22,5829.26888,12.75,297.86,3271.37151,10.98
9,Bath  ,32.95,293.40571,8.9,22.15,184.1257,8.31
10,Bedford County,402.6,5205.92768,12.93,287.1,3459.57158,12.05
11,Bland  ,33,496.71854,15.05,29,283.76834,9.79
12,Botetourt  ,213.36,2582.81944,12.11,143.54,1725.18084,12.02
13,Brunswick  ,86.5,825.55617,9.54,55.5,521.33143,9.39
14,Buchanan  ,112.26,1367.92337,12.19,86.85,954.88305,10.99
15,Buckingham  ,90.68,1036.37628,11.43,69.35,780.99996,11.26
16,Campbell  ,324.88,4508.59872,13.88,275.7,2953.77967,10.71
17,Caroline  ,189.56,2590.69622,13.67,109.51,1484.00617,13.55
18,Carroll  ,134.09,1965.2166,14.66,137.97,1288.98324,9.34
19,Charles City,22.7,308.48315,13.59,31.64,181.9439,5.75
20,Charlotte  ,81.11,984.4663,12.14,53.49,562.51124,10.52
21,Chesterfield,2908.32,37454.99129,12.88,1885.23,24801.16196,13.16
22,Clarke  ,83.73,1029.19264,12.29,70.13,825.46612,11.77
23,Craig  ,26.39,266.94674,10.12,21.83,187.35504,8.58
24,Culpeper  ,443.38,4793.03866,10.81,213,3324.37771,15.61
25,Cumberland  ,71.5,715.03884,10,39,460.62776,11.81
26,Dickenson  ,101.01,1120.42129,11.09,59.5,723.01124,12.15
27,Dinwiddie  ,186.64,2507.17729,13.43,106.81,1416.1235,13.26
28,Essex  ,65.75,616.42698,9.38,37.32,442.382,11.85
29,Fairfax County/City,8838.97,102470.9907,11.59,5847.89,73489.49619,12.57
30,Fauquier  ,374.58,6063.34425,16.19,491.17,4326.04532,8.81
31,Floyd  ,91.95,982.52228,10.69,58.55,688.81388,11.76
32,Fluvanna  ,154.1,1875.14203,12.17,107.4,1323.06218,12.32
33,Franklin  ,361.34,3564.17733,9.86,223.56,2331.56425,10.43
34,Frederick  ,595.87,7879.0698,13.22,457.44,5460.88406,11.94
35,Giles  ,110,2303.48901,20.94,80.15,1055.79997,13.17
36,Gloucester  ,244.26,2968.23692,12.15,139.52,1822.16094,13.06
37,Goochland  ,136.09,1455.59979,10.7,82.9,1056.2849,12.74
38,Grayson  ,96.63,948.97747,9.82,59.17,551.73594,9.32
39,Greene  ,151.34,1569.96075,10.37,90.47,1181.68694,13.06
40,Greensville/Emporia,.,.,.,.,.,.
41,Halifax  ,216,2500.13558,11.57,158.2,1668.14404,10.54
42,Hanover  ,917.32,9771.74015,10.65,594.47,6847.23171,11.52
43,Henrico  ,2151.21,29014.36533,13.49,1262.15,19732.95614,15.63
44,Henry  ,258.1,3891.7088,15.08,205.86,2653.93745,12.89
45,Highland  ,15,119.14204,7.94,17,66.55113,3.91
46,Isle Of Wight  ,250.25,3217.81601,12.86,144.7,2204.13874,15.23
48,King George,151.4,2588.86291,17.1,178.75,1656.08853,9.26
49,King & Queen  ,36.74,569.82923,15.51,27.51,193.46193,7.03
50,King William  ,100.25,1199.12411,11.96,58.75,764.12278,13.01
51,Lancaster  ,42.75,540.92353,12.65,26.75,354.5765,13.26
52,Lee  ,158,1710.86714,10.83,93,1035.62708,11.14
53,Loudoun  ,3651.95,47403.52709,12.98,2982.32,33949.39749,11.38
54,Louisa  ,262.4,2992.01102,11.4,170.3,1883.69219,11.06
55,Lunenburg  ,74.76,885.09603,11.84,49.77,592.27114,11.9
56,Madison  ,97.1,937.00986,9.65,45.1,605.36442,13.42
57,Mathews  ,45.35,486.26423,10.72,32.9,362.52872,11.02
58,Mecklenburg  ,234,2269.02775,9.7,156,1438.62228,9.22
59,Middlesex  ,48.16,712.00572,14.78,40.77,394.05682,9.67
60,Montgomery  ,527.36,5641.53175,10.7,310.11,3758.85989,12.12
62,Nelson  ,82.07,803.73228,9.79,57.53,611.56817,10.63
63,New Kent  ,153.89,2010.40579,13.06,89.45,1287.86866,14.4
65,Northampton  ,72.63,769.50563,10.59,45.67,515.69885,11.29
66,Northumberland  ,49.23,665.97096,13.53,45.04,390.57557,8.67
67,Nottoway  ,86.55,1047.59094,12.1,54,600.67044,11.12
68,Orange  ,228.3,2957.26817,12.95,119.1,1695.8269,14.24
69,Page  ,159.9,1667.76502,10.43,108.45,1231.61494,11.36
70,Patrick  ,111.67,1536.25982,13.76,69.39,840.77968,12.12
71,Pittsylvania  ,389.15,4281.90823,11,252.69,3118.01639,12.34
72,Powhatan  ,206.76,2414.80009,11.68,128.9,1657.34576,12.86
73,Prince Edward  ,107,1105.70554,10.33,58,639.5944,11.03
74,Prince George  ,304,3661.32008,12.04,140,2083.23383,14.88
75,Prince William   ,3979.7,52838.23822,13.28,2216.12,35731.30901,16.12
77,Pulaski  ,200,2285.84832,11.43,122.2,1499.99891,12.27
