Code,Division Name,Region,Division NBCT Count,Division Perc,Type of District,FY22 Avg Salary,Educ Expend,Expend Per Capita,Total Expend,Median Household Income,Number of Schools
1,Accomack County,Tidewater,3,0.001706485,1,57536,73624481,2203.47,123992796,52694,11
2,Albemarle County,Valley,22,0.012514221,1,61079,238400464,2121.09,420851877,97708,23
3,Alleghany County,Western Virginia,3,0.001706485,1,49941,27073041,1778.43,57012879,52546,6
4,Amelia County,Southside,1,0.000568828,1,57395,23064793,1738.77,41492721,63438,3
5,Amherst County,Valley,3,0.001706485,1,51209,.,.,.,64454,9
6,Appomattox County,Southside,0,0,1,51615,36782332,2281.92,54441793,60041,4
7,Arlington County,Northern Virginia,193,0.109783845,1,88530,692958737,2903.75,1790055160,137387,35
8,Augusta County,Valley,5,0.002844141,1,53123,133109743,1717.83,217406382,76124,19
9,Bath County,Valley,0,0,1,50811,10994705,2612.19,20633108,55699,3
10,Bedford County,Valley,9,0.005119454,1,50531,.,.,.,74773,19
11,Bland County,Southwest Virginia,0,0,1,51614,9967752,1589.75,23248806,59901,2
12,Botetourt County,Western Virginia,2,0.001137656,1,57898,60770295,1808.86,96979822,77680,11
13,Brunswick County,Southside,0,0,1,47013,.,.,.,52678,5
14,Buchanan County,Southwest Virginia,0,0,1,47128,.,.,.,39591,8
15,Buckingham County,Southside,0,0,1,53390,.,.,.,59894,4
16,Campbell County,Valley,0,0,1,51976,106108765,1905.14,165615169,59022,13
17,Caroline County,Northern Neck,1,0.000568828,1,50453,54090355,1751.23,94881854,83562,5
18,Carroll County,Southwest Virginia,1,0.000568828,1,53705,52437970,1798.59,94963053,49113,9
19,Charles City County,Central Virginia,0,0,1,60039,10760803,1588.78,29871316,65573,2
20,Charlotte County,Southside,2,0.001137656,1,48398,24366341,2113.48,42299624,51548,5
21,Chesterfield County,Central Virginia,84,0.04778157,1,56444,799865578,2194.13,1303158353,95757,63
